Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
Stitch 'N Bitch Crochet,Debbie Stoller,eBook,$23.99,,0761174982,2006-02-13,Workman Publishing Company,250
Walk Into Silence,Susan McBride,eBook,,,1365501213,2016-11-01,Workman Publishing Company,250
Lord of Chaos,Robert Jordan,eBook,$12.99,,0748115390,2010-03-16,"Little, Brown Book Group",1056
A Wartime Christmas,Carol Rivers,eBook,$8.99,,0857208349,2013-08-01,Simon & Schuster UK,464
Blood Ties,Samantha Hayes,eBook,$12.99,,0755376609,2010-03-04,Headline,307
Infinity Gauntlet,Jim Starlin,eBook,$16.12,$12.99,0785170650,2014-05-28,Marvel Entertainment,307
No Way Back,M. J. Arlidge,eBook,$2.99,,1405926953,2016-08-08,Penguin Books Ltd,40
Feel Better In 5,Dr Rangan Chatterjee,eBook,$19.99,,0241397812,2019-12-26,Penguin Books Ltd,272
Nine Perfect Strangers,Liane Moriarty,eBook,,,1405919477,2018-10-04,Penguin Books Ltd,272
The Fishermen,Chigozie Obioma,eBook,,,0316338362,2016-01-12,Little Brown and Company,352
Escaping Destiny,Amelia Hutchins,eBook,$6.99,,0991190920,2015-07-30,Amelia Hutchins,352
The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,eBook,$12.99,,0141967560,2012-10-02,Penguin Random House Children's UK,592
The Five Dysfunctions of a Team,Patrick M. Lencioni,eBook,$32.99,,0470893869,2010-06-03,Wiley Professional Development (P&T),240
Christmas Bells,Jennifer Chiaverini,eBook,$18.85,$15.99,0698407091,2015-10-27,Penguin Publishing Group,240
The 7 Habits Of Highly Effective Teenagers,Sean Covey,eBook,$16.99,,0857206478,2011-03-31,Simon & Schuster UK,288
Nineteen Eighty-Four,George Orwell,eBook,$10.99,,0141919957,2023-07-01,Penguin Books Ltd,400
The King's Men,Nora Sakavic,eBook,$1.43,,1310839697,2015-05-19,Nora Sakavic,400
Book Not Found,,,,,,,,
I'm a T. Rex!,Dennis R. Shealy,eBook,$8.79,$7.99,0307978885,2012-04-25,Random House Children's Books,400
Book Not Found,,,,,,,,
Dracula,Bram Stoker,eBook,$1.45,,0486114759,1992-01-01,Dover Publications,336
Lucy Sullivan is Getting Married,Marian Keyes,eBook,$15.99,,1405935162,2017-07-13,Penguin Books Ltd,672
The Beach,Alex Garland,eBook,$15.99,,0141941448,2007-07-05,Penguin Books Ltd,448
The Green Mile,Stephen King,eBook,$13.99,,0575087307,2010-11-25,Orion,448
Persuasion,Jane Austen,eBook,$3.99,,0553904566,2023-04-04,Random House Publishing Group,448
The Crowded Grave,Martin Walker,eBook,$11.99,,0857389572,2011-10-29,Quercus,320
Eeny Meeny,M. J. Arlidge,eBook,$15.99,,1405914890,2014-05-08,Penguin Books Ltd,464
Tao Te Ching,Lao Tzu,eBook,$10.99,,014192232X,2018-09-24,Penguin Books Ltd,192
Bonk,Mary Roach,eBook,,,0393069214,2009-04-06,Penguin Books Ltd,336
The Cake Bible,Rose Levy Beranbaum,eBook,$42.99,,0544859561,2016-09-06,HarperCollins,560
Midnight in the Garden of Good and Evil,John Berendt,eBook,$25.70,$20.99,0307538370,1999-06-28,Knopf Doubleday Publishing Group,560
A Liverpool Legacy,Anne Baker,Paperback,$27.50,,0755399609,2014-06-05,Headline,384
The Rainmaker,John Grisham,eBook,$15.99,,140705919X,2010-04-21,Random House,720
The Murder Room,P. D. James,eBook,$14.29,$12.99,0571247032,2008-09-04,Faber & Faber,320
Thor,Jason Aaron,eBook,$13.19,$10.99,1302013769,2014-04-02,Marvel Entertainment,320
Fatal Cut,June Hampson,eBook,$11.99,,1409106969,2009-04-16,Orion,320
The Queen and I,Sue Townsend,eBook,$15.99,,0141938331,2002-11-28,Penguin Books Ltd,288
Book Not Found,,,,,,,,
The Drowning,Bryan Brown,Digital Audiobook,$24.99,,1004145039,2023-11-01,Wavesound from W. F. Howes Ltd,288
